# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	23429
#@/user_id	dc32b531-effb-4e33-b228-85587d1b6c4a
a 	啊	c=99 d=0.100281 t=23361
yuan 	员	c=1 d=1 t=21946
yuan 	源	c=17 d=6.98443 t=21784
yuan cheng 	远程	c=45 d=2.15754 t=22148
yuan cheng de 	远程的	c=1 d=1 t=15794
yuan cheng dui xiang zhi qian 	远程对象之前	c=1 d=1 t=22149
yuan cheng nei cun 	远程内存	c=3 d=1 t=20824
yuan cheng zhi zhen 	远程指针	c=1 d=1 t=21980
yuan da yu 	远大于	c=1 d=1 t=14601
yuan dai an mo 	源带按摩	c=1 d=1 t=18599
yuan dai ma 	源代码	c=6 d=1.58174 t=20222
yuan duan 	远端	c=9 d=1 t=20344
yuan duan nei cun 	远端内存	c=1 d=1 t=15545
yuan jiang 	原浆	c=1 d=1 t=14851
yuan jiang pi jiu 	原浆啤酒	c=1 d=1 t=14853
yuan lai 	原来	c=4 d=1.00156 t=20995
yuan lai de 	原来的	c=1 d=1 t=9071
yuan li 	原理	c=4 d=1.04905 t=13225
yuan liang 	原谅	c=0 d=0.1 t=11613
yuan liang de 	原谅的	c=1 d=1 t=11614
yuan ma 	源码	c=5 d=1.68298 t=19504
yuan nei 	院内	c=1 d=1 t=11799
yuan sheng 	原声	c=1 d=1 t=5400
yuan shi 	原始	c=5 d=1 t=22078
yuan shi 	院士	c=3 d=1 t=22077
yuan wen jian 	源文件	c=1 d=1 t=1450
yuan yi 	愿意	c=1 d=1 t=11988
yuan yin 	原因	c=13 d=1.77194 t=23258
yuan yin ba 	原因吧	c=1 d=1 t=18070
yuan yin si 	原因四	c=1 d=1 t=22847
yuan yuan 	渊源	c=2 d=1 t=18380
yuan yuan 	远远	c=2 d=1 t=18381
yuan yuan chao chu 	远远超出	c=1 d=1 t=16877
yuan ze 	原则	c=1 d=1 t=8223
yuan zuo 	原作	c=4 d=3.52585 t=10626
yue 	月	c=9 d=1.00002 t=18139
yue 	约	c=1 d=1 t=16331
yue 	越	c=1 d=1 t=9221
yue da 	越大	c=4 d=1.94176 t=17958
yue deng yu 	约等于	c=2 d=1 t=22993
yue du 	阅读	c=17 d=1.99808 t=19748
yue du qi 	阅读器	c=5 d=1 t=19854
yue dui 	乐队	c=2 d=1.96951 t=17805
yue dui e 	乐队饿	c=1 d=1 t=17806
yue duo 	越多	c=1 d=1 t=17951
yue gao 	越高	c=2 d=1.9802 t=11283
yue hao 	越好	c=0 d=0.1 t=1978
yue hao de 	约好的	c=1 d=1 t=1978
yue hao de 	越好的	c=1 d=1 t=1979
yue huo 	月活	c=1 d=1 t=11030
yue kan 	越看	c=1 d=1 t=9218
yue lai yue 	越来越	c=2 d=1 t=13724
yue lai yue da 	越来越大	c=1 d=1 t=17966
yue lai yue duo 	越来越多	c=1 d=1 t=6843
yue lai yue hao 	越来越好	c=0 d=0.1 t=12532
yue lai yue hao yong le 	越来越好用了	c=1 d=1 t=12533
yue lai yue kuai 	越来越快	c=1 d=1 t=18831
yue lai yue la ji 	越来越垃圾	c=1 d=1 t=13393
yue quan mian 	越全面	c=1 d=1 t=1982
yue shao yue hao 	越少越好	c=1 d=1 t=22654
yue shu 	约束	c=1 d=0.863379 t=13558
yun 	云	c=12 d=1.99722 t=13336
yun 	晕	c=14 d=1.93239 t=9787
yun bi ji 	云笔记	c=1 d=1 t=14083
yun che yao 	晕车药	c=1 d=1 t=14810
yun cun chu 	云存储	c=1 d=1 t=2616
yun dong 	运动	c=0 d=0.1 t=13643
yun dong kuo rong 	运动扩容	c=1 d=1 t=13644
yun duan 	云端	c=1 d=1 t=14020
yun le 	晕了	c=10 d=1.98353 t=10857
yun pan 	云盘	c=1 d=1 t=3230
yun suan 	运算	c=2 d=1.74082 t=13566
yun tong bu 	云同步	c=2 d=1 t=14081
yun xin 	晕新	c=1 d=1 t=19979
yun xing 	运行	c=15 d=1.99557 t=23314
yun xing shi 	运行时	c=5 d=2.25496 t=22117
yun xing shi hou 	运行时候	c=1 d=1 t=20260
yun xing shi jian 	运行时间	c=3 d=2.67693 t=17112
yun xing yu 	运行于	c=2 d=1.98511 t=5782
yun xing zai 	运行在	c=2 d=1.00002 t=20021
yun xu 	允许	c=5 d=1 t=22188
yun yun 	晕晕	c=1 d=1 t=5933
yun yun zi 	晕晕子	c=1 d=1 t=2345
za 	咋	c=12 d=1.95123 t=21676
za ban 	咋办	c=5 d=1 t=19905
za ban a 	咋办啊	c=1 d=1 t=12880
za fa de 	咋发的	c=1 d=1 t=6083
za gao 	咋搞	c=1 d=1 t=19596
za huan 	咋换	c=1 d=1 t=19911
za huo 	杂货	c=1 d=1 t=4983
za le 	咋了	c=2 d=1 t=19865
za le 	砸了	c=3 d=1 t=19864
za luan 	杂乱	c=0 d=0.1 t=6840
za luan de 	杂乱的	c=1 d=1 t=6841
za pei 	咋配	c=1 d=1 t=18463
za shuo 	咋说	c=1 d=1 t=5104
za yang 	咋样	c=4 d=1 t=21448
za yang le 	咋样了	c=1 d=1 t=7701
za zhe 	咋着	c=0 d=0.1 t=17523
za zhe li 	咋着里	c=2 d=1.99501 t=17525
zai 	再	c=22 d=1.137 t=23040
zai 	在	c=184 d=4.63791 t=23321
zai 	栽	c=0 d=0.1 t=18813
zai chong dian 	在充电	c=1 d=1 t=11752
zai chuang jian shi 	在创建是	c=1 d=1 t=22186
zai chuang shang 	在床上	c=1 d=1 t=16941
zai ci 	在此	c=1 d=1 t=5634
zai dao 	再到	c=1 d=1 t=18174
zai gan ma 	在干嘛	c=3 d=1.00004 t=8733
zai gao 	在搞	c=0 d=0.1 t=18216
zai gao ke yan 	在搞科研	c=1 d=1 t=18217
zai gong an mian 	在公安面	c=1 d=1 t=6708
zai jian 	再见	c=3 d=1.97045 t=22640
zai jin tian 	在今天	c=1 d=1 t=48
zai na 	在哪	c=1 d=1 t=6144
zai na 	在那	c=2 d=1 t=4331
zai na li 	在哪里	c=1 d=1 t=21607
zai na li 	在那里	c=1 d=1 t=15266
zai ri ye 	在日夜	c=1 d=1 t=4795
zai shang ke 	在上课	c=1 d=1 t=21478
zai shang zhou 	在上周	c=0 d=0.1 t=19212
zai shi yan shi 	在实验室	c=2 d=1.956 t=23137
zai shuo 	再说	c=0 d=0.1 t=11366
zai wu 	再无	c=1 d=1 t=8455
zai xia 	在下	c=1 d=1 t=3382
zai xian 	在线	c=21 d=1.97051 t=19859
zai xian diao yong 	在线调用	c=1 d=1 t=6920
zai xian wen dang 	在线文档	c=2 d=1.99005 t=14059
zai ye 	再也	c=3 d=1.38868 t=15028
zai yong 	在用	c=2 d=1 t=6941
zai yu 	在于	c=3 d=1 t=20779
zai zen me 	再怎么	c=1 d=1 t=6229
zai zhao 	在找	c=1 d=1 t=21055
zai zhe li 	在这里	c=2 d=1 t=22419
zan le 	攒了	c=1 d=1 t=10083
zan le 	赞了	c=1 d=1 t=13176
zan shi 	暂时	c=1 d=1 t=12113
zan ting 	暂停	c=0 d=0.1 t=20909
zang 	脏	c=1 d=1 t=3271
zao 	早	c=1 d=1 t=12972
zao 	造	c=2 d=1 t=12971
zao cheng 	造成	c=3 d=1.02004 t=16806
zao dian shui 	早点睡	c=0 d=0.1 t=20718
zao dian shui le 	早点睡了	c=1 d=1 t=20719
zao fa 	造法	c=0 d=0.1 t=12969
zao fa le 	造法了	c=1 d=1 t=12970
zao jiu 	早就	c=1 d=1 t=4964
zao mai zao xiang shou 	早买早享受	c=1 d=1 t=10052
zao qi 	早期	c=1 d=1 t=8909
zao re 	燥热	c=1 d=1 t=18068
zao shang 	早上	c=6 d=1 t=23162
zao shang na 	早上那	c=1 d=1 t=9545
zao shang qi lai 	早上起来	c=1 d=1 t=9860
zao tui 	早退	c=0 d=0.1 t=11838
zao tui wan le 	早退完了	c=1 d=1 t=11839
zao yi 	早已	c=1 d=1 t=7706
zao zhong wan 	早中晚	c=1 d=1 t=7469
ze 	则	c=1 d=1 t=566
ze me 	则么	c=1 d=1 t=19670
zei 	贼	c=0 d=0.1 t=12351
zei la ji 	贼垃圾	c=1 d=1 t=12352
zen 	怎	c=1 d=1 t=6937
zen me 	怎么	c=18 d=1.00807 t=20755
zen me ban 	怎么办	c=2 d=1 t=6551
zen me ban a 	怎么办啊	c=1 d=1 t=11298
zen me fa 	怎么发	c=1 d=1 t=19721
zen me gai 	怎么改	c=1 d=1 t=39
zen me jin qu 	怎么进去	c=1 d=1 t=7405
zen me kai 	怎么开	c=0 d=0.1 t=12696
zen me kai a 	怎么开啊	c=1 d=1 t=12697
zen me kan 	怎么看	c=1 d=1 t=18872
zen me ke neng 	怎么可能	c=1 d=1 t=3245
zen me shang 	怎么上	c=1 d=1 t=18975
zen me si de 	怎么死的	c=1 d=1 t=10699
zen me yang 	怎么样	c=18 d=1.08545 t=21904
zen me yong 	怎么用	c=2 d=1.01297 t=3053
zen me zuo 	怎么做	c=1 d=0.1 t=12680
zen me zuo shi yan 	怎么做实验	c=1 d=1 t=12681
zen yang de 	怎样的	c=2 d=1.00001 t=20209
zeng jia 	增加	c=7 d=2.05227 t=21316
zeng liang 	增量	c=1 d=1 t=14591
zeng qiang 	增强	c=5 d=1 t=11676
zeng qiang ban 	增强版	c=1 d=1 t=12886
zeng qiang mo shi 	增强模式	c=1 d=1 t=11679
zeng zhang 	增长	c=0 d=0.1 t=16685
zha 	扎	c=2 d=1.99005 t=9620
zha ji 	炸鸡	c=1 d=1 t=14622
zha le 	炸了	c=0 d=0.1 t=12931
zha lie 	炸裂	c=1 d=1 t=44
zhai yao 	摘要	c=2 d=1 t=20252
zhan 	占	c=2 d=1 t=13536
zhan 	战	c=7 d=1 t=9579
zhan 	栈	c=4 d=2.59624 t=6426
zhan 	站	c=7 d=1.83425 t=22619
zhan bi 	占比	c=1 d=1 t=13564
zhan chang 	战场	c=1 d=1 t=19720
zhan dian 	站点	c=1 d=1 t=22624
zhan jun 	詹俊	c=3 d=2.98506 t=8726
zhan kai 	展开	c=4 d=3.94092 t=10876
zhan shi 	展示	c=3 d=1.69768 t=21318
zhan shi le 	展示了	c=6 d=1.30882 t=22144
zhan tie 	粘贴	c=1 d=1 t=1811
zhan yong 	占用	c=3 d=0.1 t=21493
zhan yong de 	占用的	c=1 d=1 t=21494
zhan zhang zhi jia 	站长之家	c=1 d=1 t=14729
zhan zhen 	栈帧	c=2 d=1.8781 t=6418
zhang 	张	c=4 d=1 t=22364
zhang 	章	c=3 d=1.00029 t=10355
zhang ge er 	长个儿	c=2 d=1.00001 t=3133
zhang hao 	账号	c=5 d=1 t=19779
zhang hao a 	账号啊	c=1 d=1 t=9324
zhang hu 	账户	c=1 d=1 t=2075
zhang hu deng lu 	账户登录	c=1 d=1 t=10408
zhang hua 	张华	c=1 d=1 t=2599
zhang kou bi kou 	张口闭口	c=1 d=1 t=7127
zhang peng 	帐篷	c=1 d=1 t=13077
zhao 	找	c=6 d=1 t=18154
zhao bu dao 	找不到	c=5 d=1.92653 t=18517
zhao bu dao le 	找不到了	c=1 d=1 t=11454
zhao dao 	找到	c=5 d=1.01966 t=20112
zhao dao le 	找到了	c=3 d=1 t=17343
zhao ge 	找个	c=3 d=1.00213 t=21059
zhao guo 	赵国	c=1 d=1 t=21067
zhao hei 	招黑	c=0 d=0.1 t=1629
zhao hei ci le 	招黑辞了	c=1 d=1 t=1630
zhao hui 	找回	c=8 d=1 t=21256
zhao hui mi ma 	找回密码	c=1 d=1 t=20939
zhao le 	找了	c=1 d=1 t=18507
zhao pian 	照片	c=8 d=1 t=21923
zhao pin 	招聘	c=1 d=1 t=25
zhao ren 	招人	c=1 d=1 t=2769
zhao ta 	找他	c=1 d=1 t=3680
zhao wo 	找我	c=1 d=1 t=2147
zhao yi ge 	找一个	c=1 d=1 t=16280
zhe 	折	c=1 d=0.780451 t=10167
zhe 	着	c=7 d=1.00001 t=18941
zhe 	这	c=19 d=1.07222 t=23210
zhe bang 	这帮	c=0 d=0.1 t=16917
zhe bang ren 	这帮人	c=1 d=1 t=12160
zhe bang ti bu 	这帮替补	c=1 d=1 t=16918
zhe ben 	这本	c=1 d=1 t=19008
zhe ben shu 	这本书	c=1 d=1 t=5129
zhe bi re an 	这比热按	c=1 d=1 t=104
zhe bu dei 	折不得	c=1 d=1 t=10168
zhe bu fen 	这部分	c=5 d=1 t=21858
zhe bu shi 	这不是	c=4 d=1 t=21555
zhe ci 	这次	c=1 d=1 t=18502
zhe di 	这地	c=0 d=0.1 t=19094
zhe di xia 	这地下	c=1 d=1 t=19095
zhe dian 	这点	c=0 d=0.1 t=1902
zhe die 	折叠	c=9 d=1.00011 t=13081
zhe dou shi 	这都是	c=1 d=1 t=11688
zhe duan 	这段	c=4 d=1 t=22720
zhe duan hua 	这段话	c=11 d=1 t=22019
zhe duo 	这多	c=0 d=0.1 t=6077
zhe duo shuang a 	这多爽啊	c=1 d=1 t=6078
zhe ge 	这个	c=148 d=3.58323 t=22765
zhe ge a 	这个啊	c=0 d=0.1 t=7077
zhe ge e guo 	这个俄国	c=1 d=1 t=3096
zhe ge ma 	这个吗	c=2 d=1 t=12646
zhe ge ne 	这个呢	c=1 d=1 t=12215
zhe ge yue 	这个月	c=0 d=0.1 t=14269
zhe gen wo 	这跟我	c=1 d=1 t=7216
zhe gong 	这公	c=1 d=1 t=4968
zhe hai shi 	这还是	c=1 d=1 t=21683
zhe hou du 	这厚度	c=1 d=1 t=6864
zhe ji 	这几	c=0 d=0.1 t=19422
zhe ji ge 	这几个	c=2 d=1 t=18897
zhe ji hang 	这几行	c=1 d=1 t=19423
zhe ji tian 	这几天	c=3 d=1 t=18046
zhe jiu 	这就	c=0 d=0.1 t=21535
zhe jiu gen 	这就跟	c=1 d=1 t=21531
zhe jiu he 	这就和	c=1 d=1 t=21536
zhe jiu shi 	这就是	c=7 d=2.52706 t=18838
zhe ju 	这句	c=1 d=1 t=20879
zhe ju hua 	这句话	c=4 d=1.3216 t=8664
zhe ju ran shi 	这居然是	c=2 d=1 t=19200
zhe ke 	这课	c=1 d=1 t=17617
zhe ke yi 	这可以	c=1 d=1 t=20853
zhe kuai 	这块	c=3 d=1 t=5911
zhe lei 	这类	c=1 d=1 t=13964
zhe li 	这里	c=13 d=1.98297 t=22874
zhe li de wa 	这里的哇	c=1 d=1 t=16738
zhe liang 	这辆	c=0 d=0.1 t=8433
zhe liang chang 	这辆长	c=1 d=1 t=8434
zhe liang ge dui 	这两个队	c=2 d=1.9802 t=7794
zhe liang hang 	这两行	c=1 d=1 t=20119
zhe me 	这么	c=12 d=1.0251 t=23170
zhe me can 	这么惨	c=0 d=0.1 t=18568
zhe me can a 	这么惨啊	c=1 d=1 t=18569
zhe me da 	这么大	c=1 d=1 t=768
zhe me duo 	这么多	c=1 d=0.1 t=21704
zhe me duo shi jian 	这么多实践	c=1 d=1 t=13715
zhe me gan 	这么干	c=0 d=0.1 t=15029
zhe me gan le 	这么干了	c=1 d=1 t=15030
zhe me jiu 	这么久	c=0 d=0.1 t=1829
zhe me kan 	这么看	c=0 d=0.1 t=7737
zhe me kan a 	这么看啊	c=1 d=1 t=7738
zhe me kuai 	这么快	c=2 d=1 t=15729
zhe me li jie 	这么理解	c=0 d=0.1 t=7921
zhe me li jie de 	这么理解的	c=1 d=1 t=7922
zhe me man 	这么慢	c=2 d=1 t=21798
zhe me man a 	这么慢啊	c=1 d=1 t=4106
zhe me niu 	这么牛	c=1 d=1 t=6479
zhe me pei 	这么配	c=1 d=1 t=2555
zhe me re 	这么热	c=1 d=1 t=9815
zhe me shuo 	这么说	c=0 d=0.1 t=6713
zhe me xie 	这么些	c=0 d=0.1 t=11331
zhe me yong 	这么用	c=1 d=1 t=11362
zhe me yuan 	这么远	c=1 d=1 t=6483
zhe mo 	折磨	c=1 d=1 t=18577
zhe ni 	这你	c=0 d=0.1 t=12543
zhe ni dou 	这你都	c=1 d=1 t=12544
zhe pian 	这篇	c=2 d=1 t=10981
zhe ren 	这人	c=1 d=1 t=13174
zhe san ci yuan 	这三次元	c=1 d=1 t=11574
zhe shen me 	这什么	c=1 d=1 t=6701
zhe shi 	这是	c=27 d=1.14156 t=22484
zhe shi hou 	这时候	c=1 d=1 t=7808
zhe shi sha 	这是啥	c=2 d=1.99005 t=11465
zhe shi shen me 	这是什么	c=0 d=0.1 t=21551
zhe shi wei sha 	这是为啥	c=1 d=1 t=21762
zhe tao 	这套	c=1 d=1 t=12229
zhe teng 	折腾	c=6 d=1 t=23205
zhe tu 	这图	c=1 d=1 t=10632
zhe wan yi 	这玩意	c=2 d=1.00035 t=6553
zhe xie 	这些	c=13 d=1 t=21856
zhe xie wen ti 	这些问题	c=1 d=1 t=21834
zhe yang 	这样	c=12 d=1.00019 t=23093
zhe yang a 	这样啊	c=1 d=1 t=1455
zhe yang de 	这样的	c=10 d=1.00001 t=22070
zhe ye shi 	这也是	c=1 d=1 t=22166
zhe yi 	这一	c=1 d=1 t=19186
zhe yi bu fen 	这一部分	c=1 d=1 t=18987
zhe yi ci 	这一次	c=1 d=1 t=1631
zhe yi ge 	这一个	c=1 d=1 t=5053
zhe yi wei zhe 	这意味着	c=1 d=1 t=20327
zhe yi wen ti 	这一问题	c=1 d=1 t=16445
zhe you bu shi 	这又不是	c=1 d=1 t=21532
zhe you sha 	这有啥	c=2 d=1 t=13247
zhe zhang tu 	这张图	c=1 d=1 t=10659
zhe zhong 	这种	c=8 d=1.00024 t=20603
zhe zhong cuo wu 	这种错误	c=1 d=1 t=1624
zhe zhong qing kuang 	这种情况	c=0 d=0.1 t=12279
zhe zhong qing kuang xia 	这种情况瞎	c=1 d=1 t=12280
zhe zhong ren 	这种人	c=1 d=1 t=20268
zhe zhong shi 	这种事	c=1 d=1 t=7859
zhe zhou 	褶皱	c=2 d=1 t=18248
zhe zhou 	这周	c=3 d=1.00775 t=19221
zhen 	真	c=10 d=1 t=20388
zhen 	镇	c=1 d=1 t=871
zhen ai sheng ming 	珍爱生命	c=1 d=1 t=14843
zhen bu cuo 	真不错	c=1 d=1 t=18755
zhen de 	真的	c=7 d=1 t=19585
zhen de hao 	真的好	c=1 d=1 t=11960
zhen dui 	针对	c=4 d=1 t=17818
zhen fu le ni le 	真服了你了	c=0 d=0.1 t=7318
zhen hao 	真好	c=0 d=0.1 t=1872
zhen hao a 	真好啊	c=1 d=1 t=5131
zhen hao yong a 	真好用啊	c=1 d=1 t=1873
zhen huai 	真坏	c=0 d=0.1 t=20413
zhen huai a 	真坏啊	c=2 d=1.98511 t=20417
zhen ke wu 	真可恶	c=0 d=0.1 t=20390
zhen ke wu a 	真可恶啊	c=1 d=1 t=20391
zhen shi 	真实	c=9 d=1 t=19228
zhen shi 	真是	c=4 d=1.00001 t=3027
zhen zheng 	真正	c=4 d=0.109706 t=14833
zhen zheng de 	真正的	c=1 d=1 t=23295
zhen zheng yi yi shang de 	真正意义上的	c=1 d=1 t=14834
zheng bo 	正波	c=1 d=1 t=2144
zheng bo 	郑博	c=3 d=2.09134 t=2525
zheng bu ju 	整部剧	c=1 d=1 t=10726
zheng chang 	正常	c=1 d=1 t=7730
zheng dao 	正道	c=0 d=0.1 t=6611
zheng duan 	争端	c=1 d=1 t=13356
zheng duan 	整段	c=1 d=1 t=13358
zheng ge 	整个	c=13 d=1.99049 t=19709
zheng gui 	正规	c=1 d=1 t=7227
zheng hang 	整行	c=1 d=1 t=7976
zheng ming 	证明	c=1 d=1 t=18266
zheng que 	正确	c=10 d=1 t=22723
zheng que chu li 	正确处理	c=1 d=1 t=22740
zheng que lv 	正确率	c=8 d=2.13379 t=1778
zheng shi 	正式	c=2 d=1 t=6743
zheng shu 	证书	c=2 d=1 t=10678
zheng ti 	整体	c=4 d=1 t=22498
zheng tian 	整天	c=8 d=1.00018 t=14040
zheng yi 	争议	c=2 d=1.64404 t=7201
zheng zai 	正在	c=4 d=1 t=17387
zheng zai zhi xing 	正在执行	c=1 d=1 t=6336
zheng zheng 	整整	c=1 d=1 t=8446
zheng zhuang 	症状	c=1 d=1 t=164
zhi 	之	c=4 d=1 t=17810
zhi 	值	c=7 d=1.49907 t=21626
zhi 	只	c=7 d=1.07136 t=21544
zhi 	志	c=1 d=1 t=18939
zhi 	至	c=1 d=1 t=149
zhi 	致	c=3 d=1.00049 t=13937
zhi bing 	制冰	c=1 d=1 t=19624
zhi bing ji 	制冰机	c=1 d=1 t=9614
zhi bo 	直播	c=4 d=1 t=17703
zhi bo jian 	直播间	c=1 d=1 t=5667
zhi bu ding 	指不定	c=1 d=1 t=8627
zhi bu guo 	只不过	c=1 d=1 t=10065
zhi chi 	支持	c=16 d=1.71539 t=18497
zhi chi yi xia 	支持一下	c=1 d=1 t=13944
zhi da 	直达	c=1 d=1 t=9181
zhi dao 	指导	c=2 d=1.00456 t=9973
zhi dao 	知道	c=8 d=0.1 t=21362
zhi dao le 	知道了	c=0 d=0.1 t=6516
zhi de 	值得	c=2 d=1 t=23037
zhi de shi 	指的是	c=1 d=1 t=17594
zhi dian 	指点	c=1 d=1 t=2624
zhi ding 	指定	c=7 d=1.14157 t=22717
zhi ding yi ge 	指定一个	c=1 d=1 t=21622
zhi hou 	之后	c=13 d=2.75575 t=23072
zhi hu 	知乎	c=11 d=1 t=17878
zhi hua le 	只花了	c=1 d=1 t=10094
zhi hui 	只会	c=2 d=1.0022 t=2852
zhi hui 	智慧	c=1 d=1 t=1625
zhi jian 	之间	c=11 d=1 t=20054
zhi jian de 	之间的	c=1 d=1 t=14459
zhi jie 	直接	c=64 d=2.93853 t=23238
zhi jie er 	直接而	c=1 d=1 t=11343
zhi jin 	至今	c=1 d=1 t=18229
zhi kan 	只看	c=1 d=1 t=12942
zhi lei 	之类	c=2 d=1.90937 t=22838
zhi lei de 	之类的	c=3 d=1 t=23410
zhi lian 	直连	c=2 d=1 t=12694
zhi liang 	质量	c=3 d=2.86537 t=11076
zhi ling 	指令	c=1 d=1 t=6340
zhi ling ji 	指令集	c=1 d=1 t=5556
zhi nan 	指南	c=2 d=1 t=13882
zhi neng 	只能	c=12 d=1.00017 t=22287
zhi neng 	智能	c=1 d=1 t=20545
zhi neng kan 	只能看	c=1 d=1 t=21926
zhi neng shuo 	只能说	c=1 d=1 t=8621
zhi pian 	制片	c=1 d=1 t=10565
zhi qian 	之前	c=26 d=0.537297 t=22148
zhi qian de 	之前的	c=4 d=1 t=21218
zhi qian ti dao 	之前提到	c=0 d=0.1 t=16489
zhi qian ti dao de 	之前提到的	c=2 d=1.00084 t=17907
zhi qiang 	至强	c=2 d=1.0153 t=18708
zhi shao 	至少	c=3 d=1 t=18728
zhi shao shi 	至少是	c=1 d=1 t=14070
zhi shao you 	至少有	c=1 d=1 t=20308
zhi sheng ji 	直升机	c=1 d=1 t=10665
zhi shi 	只是	c=7 d=1 t=22890
zhi shi 	指示	c=1 d=1 t=16620
zhi shi 	知识	c=2 d=1.85642 t=22889
zhi shi guan li 	知识管理	c=1 d=1 t=4212
zhi shi ku 	知识库	c=1 d=1 t=14139
zhi shi qi 	指示器	c=1 d=1 t=6327
zhi shu 	指数	c=1 d=1.09802 t=5976
zhi shu bao zha 	指数爆炸	c=1 d=1 t=5973
zhi tou 	指头	c=2 d=1.99005 t=21017
zhi wai 	之外	c=3 d=1 t=19395
zhi wang 	指望	c=1 d=1 t=13921
zhi xiang 	只想	c=1 d=1 t=883
zhi xiang 	指向	c=1 d=1 t=884
zhi xie 	只写	c=1 d=1 t=3991
zhi xing 	执行	c=33 d=2.52294 t=22632
zhi xing guo cheng zhong 	执行过程中	c=1 d=1 t=20189
zhi xing shi jian 	执行时间	c=2 d=1 t=20171
zhi xing wan bi 	执行完毕	c=1 d=1 t=6412
zhi xing zuo ye 	执行作业	c=1 d=1 t=20143
zhi xu yao 	只需要	c=2 d=1 t=10989
zhi yao 	只要	c=1 d=1 t=20509
zhi yong 	只用	c=1 d=1.09656 t=11980
zhi you 	只有	c=8 d=1 t=23071
zhi you dang 	只有当	c=1 d=1 t=16509
zhi zhang 	智障	c=1 d=1 t=4679
zhi zhen 	指针	c=13 d=5.0959 t=22121
zhi zhen ban 	至臻版	c=1 d=1 t=21953
zhi zhen shi 	指针式	c=1 d=1 t=21965
zhi zhen yin yong 	指针引用	c=1 d=1 t=20368
zhi zhi 	制止	c=1 d=1 t=6410
zhi zhi 	直至	c=1 d=1 t=6411
zhi zhong 	之中	c=1 d=1 t=18244
zhong 	中	c=92 d=4.64895 t=23322
zhong 	重	c=2 d=1 t=20750
zhong de 	中的	c=2 d=1 t=20182
zhong du 	中毒	c=1 d=1 t=3803
zhong du 	重度	c=1 d=1 t=3807
zhong duan 	中断	c=10 d=1 t=20316
zhong duan 	终端	c=11 d=1 t=20315
zhong guo 	中国	c=3 d=1.97049 t=12036
zhong hou wei 	中后卫	c=2 d=1.99501 t=8472
zhong jian 	中间	c=2 d=1 t=15250
zhong jian jian 	中间件	c=2 d=1.92312 t=2833
zhong wen 	中文	c=25 d=3.90334 t=22736
zhong wen ban 	中文版	c=1 d=1 t=19003
zhong wen jiao shen me 	中文叫什么	c=1 d=1 t=14395
zhong wu 	中午	c=3 d=1 t=8594
zhong xin 	中心	c=1 d=1 t=20468
zhong ying wen 	中英文	c=4 d=3.32291 t=406
zhong yu 	终于	c=2 d=1 t=20950
zhong zhi 	中止	c=1 d=1 t=20179
zhong zhi 	终止	c=1 d=1 t=20923
zhong zhong 	重重	c=2 d=1.97045 t=12385
zhong zhuan 	中专	c=1 d=1 t=19761
zhou 	周	c=2 d=1 t=19187
zhou jie lun 	周杰伦	c=2 d=1.99501 t=6850
zhou mo 	周末	c=2 d=1 t=12882
zhou nei 	周内	c=3 d=1 t=9552
zhou qi 	周期	c=1 d=1 t=6367
zhou wu 	周五	c=0 d=0.1 t=19032
zhou zhi ming 	周志明	c=1 d=1 t=5333
zhou zi 	肘子	c=1 d=1 t=9541
zhu 	主	c=3 d=1.00232 t=10792
zhu 	住	c=3 d=1 t=13302
zhu ce 	注册	c=16 d=1.00666 t=21253
zhu ce bu liao 	注册不了	c=0 d=0.1 t=9980
zhu ce liang 	注册量	c=2 d=1.89583 t=11022
zhu ce sha 	注册啥	c=1 d=1 t=9978
zhu ce yong hu liang 	注册用户量	c=1 d=1 t=11024
zhu cong 	主从	c=1 d=1 t=14190
zhu de 	住的	c=1 d=1 t=7413
zhu dong 	主动	c=2 d=1 t=18915
zhu duo 	诸多	c=1 d=1 t=18807
zhu ji 	主机	c=4 d=1.00022 t=22437
zhu jian 	逐渐	c=1 d=1 t=5768
zhu li 	主力	c=4 d=1.00552 t=14213
zhu liu 	主流	c=1 d=1 t=8907
zhu mian 	助眠	c=1 d=1 t=13123
zhu ming 	著名	c=0 d=0.1 t=18643
zhu ming lun wen 	著名论文	c=1 d=1 t=18644
zhu shi 	注释	c=1 d=1 t=15553
zhu ti 	主题	c=10 d=1.22207 t=14545
zhu ti qu 	主题曲	c=1 d=1 t=14639
zhu xiao 	注销	c=0 d=0.1 t=19926
zhu xiao bu liao 	注销不了	c=2 d=1.96079 t=19935
zhu yao 	主要	c=28 d=2.71871 t=22813
zhu yao shi 	主要是	c=4 d=1 t=14044
zhu yao za 	主要咋	c=1 d=1 t=284
zhu ye 	主页	c=1 d=1 t=354
zhu yi 	注意	c=2 d=1 t=22533
zhu yi li 	注意力	c=6 d=2.16612 t=13540
zhu yi li ji zhi 	注意力机制	c=0 d=0.1 t=13217
zhu zhu xia 	猪猪侠	c=0 d=0.1 t=10792
zhua 	抓	c=1 d=1 t=13229
zhua 	爪	c=1 d=1 t=9813
zhua jin qu 	抓进去	c=1 d=1 t=7327
zhua zou le ba 	抓走了吧	c=1 d=1 t=7386
zhuai chu lai 	拽出来	c=1 d=1 t=18263
